name,state,county,city,population
Pennsylvania,Pennsylvania,,,13078751 
Adams County,Pennsylvania,,,107914 
Allegheny County,Pennsylvania,,,1231814 
Armstrong County,Pennsylvania,,,63679 
Beaver County,Pennsylvania,,,165540 
Bedford County,Pennsylvania,,,47643 
Berks County,Pennsylvania,,,439117 
Blair County,Pennsylvania,,,120269 
Bradford County,Pennsylvania,,,59699 
Bucks County,Pennsylvania,,,650131 
Butler County,Pennsylvania,,,199341 
Cambria County,Pennsylvania,,,130108 
Cameron County,Pennsylvania,,,4348 
Carbon County,Pennsylvania,,,65743 
Centre County,Pennsylvania,,,159805 
Chester County,Pennsylvania,,,560745 
Clarion County,Pennsylvania,,,36855 
Clearfield County,Pennsylvania,,,78132 
Clinton County,Pennsylvania,,,37865 
Columbia County,Pennsylvania,,,66012 
Crawford County,Pennsylvania,,,82089 
Cumberland County,Pennsylvania,,,275516 
Dauphin County,Pennsylvania,,,293029 
Delaware County,Pennsylvania,,,584882 
Elk County,Pennsylvania,,,30124 
Erie County,Pennsylvania,,,267750 
Fayette County,Pennsylvania,,,123941 
Forest County,Pennsylvania,,,6601 
Franklin County,Pennsylvania,,,159285 
Fulton County,Pennsylvania,,,14452 
Greene County,Pennsylvania,,,33960 
Huntingdon County,Pennsylvania,,,43359 
Indiana County,Pennsylvania,,,82953 
Jefferson County,Pennsylvania,,,43367 
Juniata County,Pennsylvania,,,23395 
Lackawanna County,Pennsylvania,,,216859 
Lancaster County,Pennsylvania,,,563293 
Lawrence County,Pennsylvania,,,84233 
Lebanon County,Pennsylvania,,,145319 
Lehigh County,Pennsylvania,,,385655 
Luzerne County,Pennsylvania,,,331379 
Lycoming County,Pennsylvania,,,113236 
McKean County,Pennsylvania,,,39478 
Mercer County,Pennsylvania,,,108140 
Mifflin County,Pennsylvania,,,45935 
Monroe County,Pennsylvania,,,166523 
Montgomery County,Pennsylvania,,,879190 
Montour County,Pennsylvania,,,18115 
Northampton County,Pennsylvania,,,322989 
Northumberland County,Pennsylvania,,,90027 
Perry County,Pennsylvania,,,46816 
Philadelphia County,Pennsylvania,,,1573916 
Pike County,Pennsylvania,,,62376 
Potter County,Pennsylvania,,,15993 
Schuylkill County,Pennsylvania,,,144523 
Snyder County,Pennsylvania,,,39627 
Somerset County,Pennsylvania,,,72134 
Sullivan County,Pennsylvania,,,5927 
Susquehanna County,Pennsylvania,,,38100 
Tioga County,Pennsylvania,,,40698 
Union County,Pennsylvania,,,42159 
Venango County,Pennsylvania,,,49476 
Warren County,Pennsylvania,,,37373 
Washington County,Pennsylvania,,,210434 
Wayne County,Pennsylvania,,,51419 
Westmoreland County,Pennsylvania,,,350935 
Wyoming County,Pennsylvania,,,25771 
York County,Pennsylvania,,,471240 
