GEOID,HousingType,IncomeBucket,EnergyBurdenPercent
42101000200,OWNER 1 ATTACHED,$75k–$100k,24.68
42101000200,OWNER 1 DETACHED,$75k–$100k,2.85
42101000200,OWNER 2 UNIT,$75k–$100k,0
42101000200,OWNER 20-49 UNIT,$75k–$100k,0
42101000200,OWNER 50+ UNIT,$75k–$100k,0.29
42101000200,RENTER 10-19 UNIT,$75k–$100k,0.04
42101000200,RENTER 2 UNIT,$75k–$100k,0.04
42101000200,RENTER 20-49 UNIT,$75k–$100k,7.35
42101000200,RENTER 3-4 UNIT,$75k–$100k,0.18
42101000200,RENTER 5-9 UNIT,$75k–$100k,0.31
42101000200,RENTER 50+ UNIT,$75k–$100k,0.72
42101000200,OWNER 1 ATTACHED,$75k–$100k,0.22
42101000200,OWNER 1 DETACHED,$75k–$100k,0.92
42101000200,OWNER 2 UNIT,$75k–$100k,4.08
42101000200,OWNER 20-49 UNIT,$75k–$100k,0.26
42101000200,OWNER 50+ UNIT,$75k–$100k,5.95
42101000200,RENTER 10-19 UNIT,$75k–$100k,0.06
42101000200,RENTER 2 UNIT,$75k–$100k,0.37
42101000200,RENTER 20-49 UNIT,$75k–$100k,2.84
42101000200,RENTER 3-4 UNIT,$75k–$100k,3.62
42101000200,RENTER 5-9 UNIT,$75k–$100k,0.58
42101000200,RENTER 50+ UNIT,$75k–$100k,2.04
42101000200,OWNER 1 ATTACHED,$75k–$100k,13.36
42101000200,OWNER 1 DETACHED,$75k–$100k,6.32
42101000200,OWNER 2 UNIT,$75k–$100k,0.35
42101000200,OWNER 20-49 UNIT,$75k–$100k,0.06
42101000200,OWNER 50+ UNIT,$75k–$100k,47.07
42101000200,RENTER 10-19 UNIT,$75k–$100k,0.19
42101000200,RENTER 2 UNIT,$75k–$100k,0.57
42101000200,RENTER 20-49 UNIT,$75k–$100k,1.56
42101000200,RENTER 3-4 UNIT,$75k–$100k,1.38
42101000200,RENTER 5-9 UNIT,$75k–$100k,1.19
42101000200,RENTER 50+ UNIT,$75k–$100k,2.6
42101000200,OWNER 1 ATTACHED,$75k–$100k,2.09
