OBJECTID,GISOBJID,OBJ_CODE,DESCRIPTION,PARKING_TYPE,OPERATOR,NUM_SPACES,HOURLY_RT,DAILY_RT,FLAT_RT,CONT_RT,ELYBRDRT,TRRESVD,TRANDOM,NTRESVD,NTRADOM,CreationDate,Creator,EditDate,Editor,hyperlink,attachment,EV,GlobalID,Address,StreetView
1,10248200,PKGL-3,City Hall Garage,G,City of Sacramento,1035,3,18,,18,0,,,,185,2015/12/10 16:58:52.132+00,jorgeacevedo,2015/12/10 17:11:11.519+00,jorgeacevedo,cityhall,pkgl-3,EV,f4fe9e8f-be48-45a1-9dff-d585d8011174,"10th and I, 11th & I","https://www.google.com/maps/@38.5808215,-121.4932287,3a,75y,71.82h,95.8t/data=!3m6!1e1!3m4!1sS7Li11LcK0LkrwqQ6HkJNQ!2e0!7i13312!8i6656"
2,10248013,PKGL-174,Lot 293,SL,City of Sacramento,342,3,9,,9,,175,110,,120,2015/12/10 16:58:52.132+00,jorgeacevedo,2015/12/10 17:08:22.680+00,jorgeacevedo,lot293,"https://www.google.com/maps/@38.5831996,-121.4996447,3a,75y,336.91h,88.26t/data=!3m6!1e1!3m4!1sjARa6jEJYwYj99jp-CTf_w!2e0!7i13312!8i6656",,cf196027-16c6-4557-ae92-e4c9163b3b60,5th and I Streets,"https://www.google.com/maps/@38.5831996,-121.4996447,3a,75y,336.91h,88.26t/data=!3m6!1e1!3m4!1sjARa6jEJYwYj99jp-CTf_w!2e0!7i13312!8i6656"
3,10248026,PKGL-31,Lot Y,SL,City of Sacramento,43,1.5,6,,,,,,,,2015/12/10 16:58:52.132+00,jorgeacevedo,2015/12/10 17:10:24.361+00,jorgeacevedo,loty,"https://www.google.com/maps/@38.5776398,-121.5064753,3a,75y,354.3h,86.7t/data=!3m6!1e1!3m4!1scY43oFbYxiotlRi4bC3iPw!2e0!7i13312!8i6656",,6fe0146d-b009-4591-b847-0eab3604aafd,2nd and O St.,"https://www.google.com/maps/@38.5776398,-121.5064753,3a,75y,354.3h,86.7t/data=!3m6!1e1!3m4!1scY43oFbYxiotlRi4bC3iPw!2e0!7i13312!8i6656"
5,10248046,PKGL-9,Capitol Garage,G,City of Sacramento,,,,,,,,,,,2015/12/10 16:58:52.132+00,jorgeacevedo,2015/12/10 17:11:46.262+00,jorgeacevedo,capitol,pkgl-9o,EV,b8393542-853f-4c99-8b23-0a1829b4401a,10th and L,"https://www.google.com/maps/@38.5782756,-121.4943719,3a,75y,85.4h,92.08t/data=!3m6!1e1!3m4!1s0PFOWSVF9kT64NDiOYfdrg!2e0!7i13312!8i6656"
7,10248012,PKGL-51,Old Sacramento Garage,G,City of Sacramento,878,2.5,13,,13,4,,,,115,2015/12/10 16:58:52.132+00,jorgeacevedo,2015/12/10 17:09:04.339+00,jorgeacevedo,oldsacramento,pkgl-51o,EV,4a19c205-d94c-48c8-bc52-c0b0a0e54aa7,2nd and I,"https://www.google.com/maps/@38.5844741,-121.5032512,3a,75y,227.49h,77.8t/data=!3m6!1e1!3m4!1stfW2K2G97T843ukwNt9pzg!2e0!7i13312!8i6656"
8,10248014,PKGL-190,Tower Bridge Garage,G,City of Sacramento,451,3,15,,15,,,,,130,2015/12/10 16:58:52.132+00,jorgeacevedo,2015/12/10 17:09:52.388+00,jorgeacevedo,towerbridge,pkgl-190o,EV,f7f41380-889e-421c-9e3e-b919bac19d90,Front and Capitol Mall,"https://www.google.com/maps/@38.580454,-121.5069294,3a,75y,47.76h,95.53t/data=!3m6!1e1!3m4!1sZfy35YfXPPI8s6MrXEquxA!2e0!7i13312!8i6656"
9,10248015,PKGL-191,Lot X,SL,City of Sacramento,181,,10,,10,,,,,105,2015/12/10 16:58:52.132+00,jorgeacevedo,2015/12/10 17:10:07.649+00,jorgeacevedo,lotx,"https://www.google.com/maps/@38.578679,-121.5059915,3a,75y,37.33h,85t/data=!3m6!1e1!3m4!1sDW8Dg0EJUtNm1vRgOGuoAg!2e0!7i13312!8i6656",,fe4633f8-5939-4374-b5b0-323685eb0f31,2nd and N St.,"https://www.google.com/maps/@38.578679,-121.5059915,3a,75y,37.33h,85t/data=!3m6!1e1!3m4!1sDW8Dg0EJUtNm1vRgOGuoAg!2e0!7i13312!8i6656"
12,10248138,PKGL-79,Memorial Garage,G,City of Sacramento,,,,,,,,,,,2015/12/10 16:58:52.132+00,jorgeacevedo,2015/12/10 17:12:04.273+00,jorgeacevedo,memorial,pkgl-79,EV,0215a8a5-8b0c-4d61-a692-b9ab8e895e53,14th and H Street,"https://www.google.com/maps/@38.5804752,-121.4856627,3a,75y,268.41h,105.01t/data=!3m6!1e1!3m4!1sfgg290kmHl1vMaAviWPkPA!2e0!7i13312!8i6656"
13,10248064,PKGL-18,Lot D,SL,City of Sacramento,110,,18,,18,,,,,125,2015/12/10 16:58:52.132+00,jorgeacevedo,2015/12/10 17:11:28.188+00,jorgeacevedo,lotd,"https://www.google.com/maps/@38.5804516,-121.489432,3a,75y,343.58h,78.67t/data=!3m6!1e1!3m4!1sJUWun8v1IyQ7Y9n-u5y3ag!2e0!7i13312!8i6656",,e76a4507-fcbc-413d-90ae-76ea9116095d,12th and I St.,"https://www.google.com/maps/@38.5804516,-121.489432,3a,75y,343.58h,78.67t/data=!3m6!1e1!3m4!1sJUWun8v1IyQ7Y9n-u5y3ag!2e0!7i13312!8i6656"
14,10248016,PKGL-161,Front and L Lot,SL,Standard Parking,82,2.5,12,,12,,,,,,2015/12/17 23:20:35.329+00,jorgeacevedo,2015/12/17 23:27:08.125+00,,front_l,"https://www.google.com/maps/@38.5811886,-121.50597,3a,75y,19.47h,71.34t/data=!3m6!1e1!3m4!1spUykgi6KpbYthHPekje-nw!2e0!7i13312!8i6656",,d015b704-dd2d-42e5-9d60-d9ebc3776cf7,1121 FRONT ST,"https://www.google.com/maps/@38.5811886,-121.50597,3a,75y,19.47h,71.34t/data=!3m6!1e1!3m4!1spUykgi6KpbYthHPekje-nw!2e0!7i13312!8i6656"
