OBJECTID,NAME,Shape__Area,Shape__Length
1,Natomas Creek,13630042.0917969,16110.1622147805
2,Regency Park,15810591.0224609,17288.8226273907
3,Village 12,5277550.73828125,9694.26013221919
4,Valleyview Acres,6375572.64648438,10938.2726327959
5,Creekside,21312330.8652344,21420.4124667904
6,Westlake,19501194.0644531,18673.0334955963
7,Hansen Park Golf Course Site,12560256.5976563,14409.3280564813
8,Robla,64542110.9667969,38839.2410093872
9,Raley Industrial Park,46664691.1689453,39545.3711688909
10,Village 14,5292612.29589844,9112.31871128959
11,RP - Sports Complex,40597540.671875,31611.6370474275
12,Northpointe,5350206.10449219,9503.5193764586
13,Pell/Main Industrial Park,9888020.8359375,19055.5536412098
14,Village 5,13640814.5117188,16906.8094051488
15,Sundance Lake,34837041.2392578,26617.124078974
16,Glenwood Meadows,14963731.8017578,17123.9305493605
17,Youngs Heights,1951756.35449219,6097.69610124009
18,Village Green,2258105.79199219,7463.89042007141
19,East Del Paso Heights,23972012.3466797,24680.350512357
20,Natomas Crossing,29333126.8203125,23894.0646411115
21,Parker Homes,1908305.13671875,5834.64396693581
22,Del Paso Park,35895238.7695313,40634.5653020554
23,Del Paso Heights,17750031.1621094,16845.0654541588
24,Gateway West,33417440.0097656,30419.3705000231
25,Oak Knoll,7026347.63476563,13007.4926561185
26,Norwood Tech,2966327.33789063,7094.90588856724
27,West Del Paso Heights,14066054.8271484,17818.0147459731
28,Norwood I-80,1978245.76074219,6707.12330051798
29,South Natomas,82906213.7607422,45477.2157058209
30,Johnson Heights,6151058.125,10792.9897009572
31,Gardenland,16949153.8525391,23019.8034843625
32,Hagginwood,25944640.7509766,32165.4432758844
33,Strawberry Manor,10091996.1787109,13369.9053415133
34,Northgate,14818456.4580078,16972.2934794238
35,South Hagginwood,18984978.7431641,22628.2858058319
36,Ben Ali,10579524.4248047,16158.7042164108
37,Cannon Industrial Park,8504279.39746094,16160.5601369468
38,Richardson Village,6065984.62011719,9684.61715810483
39,Metro Center,8079255.953125,11920.4657085398
40,Wills Acres,5210189.53222656,9849.25437864205
41,Willowcreek,26582762.8876953,25388.5086810057
42,Noralto,12747107.6044922,17867.1658422201
43,Swanston Estates,13120686.7890625,18203.780724891
44,Old North Sacramento,19030121.9423828,27071.7547362227
45,Gateway Center,5845273.17773438,11328.8611085703
46,Natomas Corporate Center,7003373.77832031,11258.7023597146
47,River Gardens,7566959.43164063,13279.8859578799
48,Erikson Industrial Park,11767963.9716797,16794.3764981356
49,American River Parkway,45466209.9628906,46094.4128591417
50,Woodlake,10051505.4716797,14175.7928007255
51,Arden Fair,3416811.33203125,9789.68534408949
52,Point West,17013135.6953125,24244.3890679683
53,Southern Pacific / Richards,34407522.6083984,26993.1784210991
54,Johnson Business Park,8225223.72949219,14088.9077215647
55,Dos Rios Triangle,2270339.62890625,6981.68303756974
56,Cal Expo,36941643.8662109,26101.9748163675
57,Alkali Flat,3887657.14355469,7890.09233068511
58,Mansion Flats,5767839.41210938,10166.0049719489
59,River Park,21431821.1162109,25915.9692739013
60,New Era Park,7324960.421875,13783.5178016961
61,East Sacramento,93601706.8251953,44584.503811952
62,Old Sacramento,6072532.2734375,15427.330725277
63,Downtown,23105676.3076172,20197.4865915358
64,Boulevard Park,6737801.27734375,10592.743016527
65,Marshall School,4716694.43066406,8696.65106927296
66,Midtown / Winn Park / Capital Avenue,18398058.4375,17640.5098950031
67,Campus Commons,17635514.0507813,17370.5428519689
68,Sierra Oaks,10833343.7265625,18683.3425698731
69,Southside Park,9329224.24609375,13061.2147963763
70,Land Park,49882120.8535156,43047.1980807425
71,Richmond Grove,6242913.45703125,10022.517330804
72,CSUS,17516434.1171875,21182.2145541478
73,Upper Land Park,30211077.4775391,25624.8296749006
74,College/Glen,42063085.4013672,26535.2010684398
75,Alhambra Triangle,3873454.30566406,9458.75992546784
76,Curtis Park,28698598.9277344,22397.6947145281
77,Elmhurst,9813856.25097656,17609.5227705671
78,Med Center,10027186.8691406,16773.207107393
79,North Oak Park,15201705.1308594,19397.5973671979
80,Tahoe Park,17831271.2568359,18467.1248465131
81,Fairgrounds,6602296.609375,12104.3657123238
82,Tahoe Park East,7479322.33789063,12920.0931468557
83,Granite Regional Park,13967985.4179688,16191.1180639705
84,Central Oak Park,17288330.0830078,18965.1662010447
85,SCC,3129855.96875,8993.14041671567
86,South Land Park,79147384.0214844,44665.7838754616
